goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3247,2026-07-17,21,3636,3247,1623308,6493,177,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6493,2026-06-23,2,6493,6493,99234,12986,36,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12986,2026-07-17,2,12986,12986,25973,25973,5,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,24350,2026-07-17,2,24350,24350,24350,48699,2,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,43829,2026-07-09,3,43829,43829,74322,87659,7,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,129865,2026-07-11,1,129865,146098,146098,259729,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,365244,365244,730489,3,直近30日間の取引データなし,2026-07-17
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,6305,2026-07-17,37,6380,5531,1623308,8928,118,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8373,2026-07-17,52,9106,8638,154172,17856,30,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14285,2026-07-17,27,14776,14285,43584,35713,14,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
65,星宿:メカストームボックス,Starway: Mechanical Storm Box,お宝 / 宝箱,Treasure / treasure chest,,,,,24554,40583,22726,3,直近30日間の取引データなし,2026-07-17
66,星宿:ゴールドブレードボックス,Starway: Knife of the Golden Hall Box,お宝 / 宝箱,Treasure / treasure chest,,,,,96455,96455,22726,1,直近30日間の取引データなし,2026-07-17
67,「不思議な庭園」愛蔵版限定BOX,[Mysterious Garden] Collection Box,お宝 / 宝箱,Treasure / treasure chest,,,,,1623308,1623308,16233,1,直近30日間の取引データなし,2026-07-17
68,「Pearl Daydream」限定BOX,Time Garden Day Box,お宝 / 宝箱,Treasure / treasure chest,,,,,35188,65762,5519,3,直近30日間の取引データなし,2026-07-17
69,「Midnight Galaxy」限定BOX,Time Garden Midnight Box,お宝 / 宝箱,Treasure / treasure chest,,,,,14732,65762,5519,6,直近30日間の取引データなし,2026-07-17
80,M27:天下無双 先鋒版(専属),M27: Second to None Vanguard Edition (Exclusive),銃器,Weapon,,,,,812,1623308,1623,549,直近30日間の取引データなし,2026-07-17
81,M27:天下無双 豪華版(専属),M27: Second to None Enjoy Edition (Exclusive),銃器,Weapon,,,,,1623,233771,3247,115,直近30日間の取引データなし,2026-07-17
82,M27:天下無双 進化版(専属),M27: Second to None Advanced Edition (Exclusive),銃器,Weapon,,,,,3247,275962,6493,18,直近30日間の取引データなし,2026-07-17
83,M27:天下無双 旗艦版(専属),M27: Second to None Flagship Edition (Exclusive),銃器,Weapon,,,,,5844,22726,11688,22,直近30日間の取引データなし,2026-07-17
84,M27:天下無双 豪華版Ⅰ(専属),M27: Second to None Deluxe Edition I (Exclusive),銃器,Weapon,,,,,11363,37937,22726,12,直近30日間の取引データなし,2026-07-17
85,M27:天下無双 豪華版Ⅱ(専属),M27: Second to None Deluxe Edition II (Exclusive),銃器,Weapon,,,,,21915,143289,43829,2,直近30日間の取引データなし,2026-07-17
86,M27:天下無双 豪華版Ⅲ(専属),M27: Second to None Deluxe Edition III (Exclusive),銃器,Weapon,40583,2026-06-25,1,40583,40583,330077,81165,21,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
164,"HUNTER×HUNTER
トレーディングコラボガチャBOX",Hunter × Hunter collaboration Event Tradeable Lucky Draw,お宝 / 宝箱,Treasure / treasure chest,2669,2026-06-23,3,2264,2526,16233,325,40,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
429,トレーディングコラボガチャ:Fate/stay night [Heaven's Feel],Tradable Lucky Draw: Fate/Stay Night [Heaven's Feel],お宝 / 宝箱,Treasure / treasure chest,1854,2026-07-02,3,1747,1456,16233,325,29,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-17
