goods_id,商品名,商品名_原文,ジャンル,ジャンル_原文,直近成約価格_円,直近成約日,直近30日間の成約数_近似,直近30日間の平均成約価格_円,現在出品最安値_円,現在出品最高値_円,現在出品参考価格_円,現在出品数,備考,取得日
55,M4A1:全機待機 先鋒版(専属),M4A1: Golden Grandeur Vanguard Edition (Exclusive),銃器,Weapon,3243,2026-07-16,19,3673,3243,1621555,6486,179,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
56,M4A1:全機待機 豪華版(専属),M4A1: Golden Grandeur Enjoy Edition (Exclusive),銃器,Weapon,6486,2026-06-23,2,6486,6486,99127,12972,36,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
57,M4A1:全機待機 進化版(専属),M4A1: Golden Grandeur Advanced Edition (Exclusive),銃器,Weapon,12972,2026-07-13,1,12972,12972,25945,25945,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
58,M4A1:全機待機 旗艦版(専属),M4A1: Golden Grandeur Flagship Edition (Exclusive),銃器,Weapon,24323,2026-06-30,1,24323,24323,24323,48647,3,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
59,M4A1:全機待機 豪華版Ⅰ(専属),M4A1: Golden Grandeur Deluxe Edition I (Exclusive),銃器,Weapon,43782,2026-07-09,3,43782,43782,74241,87564,6,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
60,M4A1:全機待機 豪華版Ⅱ(専属),M4A1: Golden Grandeur Deluxe Edition II (Exclusive),銃器,Weapon,129724,2026-07-11,1,129724,145940,145940,259449,1,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
61,M4A1:全機待機 豪華版Ⅲ(専属),M4A1: Golden Grandeur Deluxe Edition III (Exclusive),銃器,Weapon,,,,,364850,364850,729700,3,直近30日間の取引データなし,2026-07-16
62,95式:不知火舞 先鋒版(専属),QBZ-95: Mai Shiranui Vanguard Edition (Exclusive),銃器,Weapon,5778,2026-07-16,37,6396,6504,1621555,8919,115,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
63,95式:不知火舞 豪華版(専属),QBZ-95: Mai Shiranui Enjoy Edition (Exclusive),銃器,Weapon,8589,2026-07-16,52,9105,8722,154006,17837,24,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
64,95式:不知火舞 旗艦版(専属),QBZ-95: Mai Shiranui Flagship Edition (Exclusive),銃器,Weapon,14270,2026-07-16,26,14779,14270,43537,35674,14,※価格トレンドAPI(日次データ)に基づく近似値,2026-07-16
